Rank,School,eFG%,TOV%,ORB%,FT/FGA
139,James Madison,.480,14.5,29.8,.251
140,Kansas State NCAA,.525,15.3,25.5,.248
141,Kansas NCAA,.575,14.6,28.8,.191
142,Kennesaw State,.500,16.6,29.5,.233
143,Kent State,.487,15.7,31.7,.237
144,Kentucky NCAA,.518,15.8,35.3,.307
145,La Salle,.490,14.6,25.5,.244
146,Lafayette,.532,17.4,21.1,.228
147,Lamar,.494,15.3,32.7,.245
148,Lehigh,.532,15.5,25.4,.202
149,Liberty,.539,16.2,23.8,.268
150,Lipscomb NCAA,.518,16.9,28.3,.291
151,Long Beach State,.503,18.0,32.6,.291
152,Long Island University NCAA,.523,17.0,29.6,.266
153,Longwood,.477,20.2,23.0,.230
154,Louisiana,.535,15.6,36.1,.282
155,Louisiana-Monroe,.513,15.5,26.9,.174
156,Louisiana State,.545,14.7,29.2,.238
157,Louisiana Tech,.523,15.5,27.5,.269
158,Louisville,.518,14.7,28.6,.235
159,Loyola (IL) NCAA,.577,17.3,21.8,.231
160,Loyola Marymount,.498,16.3,34.4,.232
161,Loyola (MD),.483,16.4,29.4,.218
162,Maine,.468,18.8,25.5,.206
163,Manhattan,.516,19.8,31.0,.261
164,Marist,.527,19.6,22.6,.256
165,Marquette,.568,15.4,27.5,.232
166,Marshall NCAA,.548,15.5,22.2,.256
167,Maryland-Baltimore County NCAA,.531,15.5,26.8,.198
168,Maryland-Eastern Shore,.441,16.6,28.1,.198
169,Maryland,.546,17.9,31.6,.287
170,Massachusetts-Lowell,.523,16.5,26.7,.284
171,Massachusetts,.525,16.5,27.2,.187
172,McNeese State,.494,16.8,30.9,.234
173,Memphis,.507,17.4,35.1,.301
174,Mercer,.551,16.3,31.1,.279
175,Miami (FL) NCAA,.531,14.6,29.1,.192
176,Miami (OH),.517,16.7,27.9,.187
177,Michigan State NCAA,.569,16.4,36.8,.268
178,Michigan NCAA,.545,12.4,24.9,.203
179,Middle Tennessee,.534,15.9,31.2,.227
180,Milwaukee,.508,16.3,25.5,.190
181,Minnesota,.487,13.3,29.9,.247
182,Mississippi State,.524,16.4,31.8,.214
183,Mississippi Valley State,.426,15.7,29.7,.196
184,Mississippi,.483,13.6,31.1,.247
185,Missouri-Kansas City,.483,16.0,21.7,.245
186,Missouri State,.496,14.8,33.2,.193
187,Missouri NCAA,.537,18.3,31.1,.286
188,Monmouth,.523,18.5,26.6,.314
189,Montana State,.490,14.9,29.0,.281
