Rank,Team,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Opp FG,Opp FGA,Opp FG%,Opp 2P,Opp 2PA,Opp 2P%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp DRB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Opp PTS,gameid,Win?
232,notre-dame,200,33,63,0.524,29,51,0.569,4,12,0.333,18,19,0.947,11,26,37,17,8,6,5,9,88,24,61,0.393,13,26,0.5,11,35,0.314,3,4,0.75,7,20,27,11,4,1,11,14,62,1113201724,1
233,new-orleans,200,27,60,0.45,24,52,0.462,3,8,0.375,11,20,0.55,8,17,25,21,9,4,10,20,68,33,58,0.569,19,33,0.576,14,25,0.56,7,11,0.636,6,25,31,23,4,6,14,20,87,1113201725,0
234,oakland,200,33,58,0.569,19,33,0.576,14,25,0.56,7,11,0.636,6,25,31,23,4,6,14,20,87,27,60,0.45,24,52,0.462,3,8,0.375,11,20,0.55,8,17,25,21,9,4,10,20,68,1113201725,1
235,la-salle,250,26,61,0.426,24,48,0.5,2,13,0.154,21,26,0.808,12,38,50,6,3,8,17,18,75,25,74,0.338,20,54,0.37,5,20,0.25,16,25,0.64,11,23,34,10,11,3,7,19,71,1113201726,1
236,pennsylvania,250,25,74,0.338,20,54,0.37,5,20,0.25,16,25,0.64,11,23,34,10,11,3,7,19,71,26,61,0.426,24,48,0.5,2,13,0.154,21,26,0.808,12,38,50,6,3,8,17,18,75,1113201726,0
237,montana,225,30,66,0.455,23,42,0.548,7,24,0.292,16,25,0.64,11,25,36,15,7,6,13,23,83,27,61,0.443,21,46,0.457,6,15,0.4,18,24,0.75,12,23,35,12,4,3,19,22,78,1113201727,1
238,pittsburgh,225,27,61,0.443,21,46,0.457,6,15,0.4,18,24,0.75,12,23,35,12,4,3,19,22,78,30,66,0.455,23,42,0.548,7,24,0.292,16,25,0.64,11,25,36,15,7,6,13,23,83,1113201727,0
239,brown,200,26,61,0.426,18,41,0.439,8,20,0.4,19,27,0.704,15,25,40,18,5,3,10,25,79,26,54,0.481,19,35,0.543,7,19,0.368,13,27,0.481,7,19,26,16,6,7,13,20,72,1113201728,1
240,quinnipiac,200,26,54,0.481,19,35,0.543,7,19,0.368,13,27,0.481,7,19,26,16,6,7,13,20,72,26,61,0.426,18,41,0.439,8,20,0.4,19,27,0.704,15,25,40,18,5,3,10,25,79,1113201728,0
241,east-tennessee-state,200,28,65,0.431,17,30,0.567,11,35,0.314,9,12,0.75,10,29,39,19,8,3,20,26,76,17,55,0.309,10,22,0.455,7,33,0.212,20,30,0.667,9,25,34,8,6,2,20,14,61,1113201729,1
