Rank,Team,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Opp FG,Opp FGA,Opp FG%,Opp 2P,Opp 2PA,Opp 2P%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp DRB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Opp PTS,gameid,Win?
2542,east-carolina,200,22,55,0.4,19,43,0.442,3,12,0.25,16,25,0.64,15,33,48,11,7,4,17,13,63,22,61,0.361,17,43,0.395,5,18,0.278,8,11,0.727,6,21,27,16,9,6,11,20,57,1202201760,1
2543,tennessee-wesleyan,200,23,58,0.397,13,30,0.433,10,28,0.357,5,6,0.833,7,15,22,10,2,1,19,26,61,32,58,0.552,21,33,0.636,11,25,0.44,22,34,0.647,11,24,35,18,10,1,8,14,97,1202201761,0
2544,georgia-southern,200,32,58,0.552,21,33,0.636,11,25,0.44,22,34,0.647,11,24,35,18,10,1,8,14,97,23,58,0.397,13,30,0.433,10,28,0.357,5,6,0.833,7,15,22,10,2,1,19,26,61,1202201761,1
2545,penn-state,200,28,64,0.438,16,41,0.39,12,23,0.522,9,11,0.818,9,19,28,19,8,7,13,22,77,28,55,0.509,24,43,0.558,4,12,0.333,13,21,0.619,13,23,36,16,5,6,18,15,73,1202201762,1
2546,iowa,200,28,55,0.509,24,43,0.558,4,12,0.333,13,21,0.619,13,23,36,16,5,6,18,15,73,28,64,0.438,16,41,0.39,12,23,0.522,9,11,0.818,9,19,28,19,8,7,13,22,77,1202201762,0
2547,army,200,27,56,0.482,18,33,0.545,9,23,0.391,19,26,0.731,8,27,35,18,5,1,17,18,82,27,57,0.474,21,32,0.656,6,25,0.24,15,19,0.789,4,22,26,8,8,2,15,19,75,1202201763,1
2548,marist,200,27,57,0.474,21,32,0.656,6,25,0.24,15,19,0.789,4,22,26,8,8,2,15,19,75,27,56,0.482,18,33,0.545,9,23,0.391,19,26,0.731,8,27,35,18,5,1,17,18,82,1202201763,0
2549,mercer,250,26,59,0.441,14,32,0.438,12,27,0.444,17,23,0.739,11,27,38,16,4,2,15,24,81,23,67,0.343,16,33,0.485,7,34,0.206,30,34,0.882,16,23,39,13,6,3,9,23,83,1202201764,0
2550,memphis,250,23,67,0.343,16,33,0.485,7,34,0.206,30,34,0.882,16,23,39,13,6,3,9,23,83,26,59,0.441,14,32,0.438,12,27,0.444,17,23,0.739,11,27,38,16,4,2,15,24,81,1202201764,1
2551,loyola-marymount,200,27,63,0.429,17,37,0.459,10,26,0.385,10,15,0.667,12,17,29,14,5,0,13,25,74,28,50,0.56,26,37,0.703,2,13,0.154,20,29,0.69,7,19,26,16,7,8,10,15,78,1202201765,0
2552,oregon-state,200,28,50,0.56,26,37,0.703,2,13,0.154,20,29,0.69,7,19,26,16,7,8,10,15,78,27,63,0.429,17,37,0.459,10,26,0.385,10,15,0.667,12,17,29,14,5,0,13,25,74,1202201765,1
2553,providence,200,27,49,0.551,23,39,0.59,4,10,0.4,10,21,0.476,6,23,29,11,9,5,20,20,68,25,59,0.424,20,40,0.5,5,19,0.263,20,23,0.87,8,20,28,13,12,4,11,18,75,1202201766,0
2554,rhode-island,200,25,59,0.424,20,40,0.5,5,19,0.263,20,23,0.87,8,20,28,13,12,4,11,18,75,27,49,0.551,23,39,0.59,4,10,0.4,10,21,0.476,6,23,29,11,9,5,20,20,68,1202201766,1
2555,villanova,200,33,65,0.508,14,30,0.467,19,35,0.543,9,12,0.75,13,35,48,24,4,5,10,15,94,21,64,0.328,16,40,0.4,5,24,0.208,6,8,0.75,7,17,24,8,5,3,9,12,53,1202201767,1
2556,saint-josephs,200,21,64,0.328,16,40,0.4,5,24,0.208,6,8,0.75,7,17,24,8,5,3,9,12,53,33,65,0.508,14,30,0.467,19,35,0.543,9,12,0.75,13,35,48,24,4,5,10,15,94,1202201767,0
2557,kansas,200,27,55,0.491,16,24,0.667,11,31,0.355,11,13,0.846,7,24,31,22,4,3,16,21,76,18,56,0.321,12,29,0.414,6,27,0.222,18,26,0.692,12,21,33,9,9,1,17,16,60,1202201768,1
2558,syracuse,200,18,56,0.321,12,29,0.414,6,27,0.222,18,26,0.692,12,21,33,9,9,1,17,16,60,27,55,0.491,16,24,0.667,11,31,0.355,11,13,0.846,7,24,31,22,4,3,16,21,76,1202201768,0
2559,wright-state,200,22,60,0.367,13,33,0.394,9,27,0.333,7,13,0.538,8,22,30,16,8,1,11,18,60,28,54,0.519,20,35,0.571,8,19,0.421,14,17,0.824,5,29,34,15,5,6,14,18,78,1202201769,0
2560,western-kentucky,200,28,54,0.519,20,35,0.571,8,19,0.421,14,17,0.824,5,29,34,15,5,6,14,18,78,22,60,0.367,13,33,0.394,9,27,0.333,7,13,0.538,8,22,30,16,8,1,11,18,60,1202201769,1
2561,ohio-state,200,31,47,0.66,24,34,0.706,7,13,0.538,14,19,0.737,4,25,29,19,10,3,13,16,83,19,49,0.388,9,22,0.409,10,27,0.37,10,12,0.833,5,12,17,10,5,1,13,18,58,1202201770,1
2562,wisconsin,200,19,49,0.388,9,22,0.409,10,27,0.37,10,12,0.833,5,12,17,10,5,1,13,18,58,31,47,0.66,24,34,0.706,7,13,0.538,14,19,0.737,4,25,29,19,10,3,13,16,83,1202201770,0
2563,jacksonville,225,24,67,0.358,19,50,0.38,5,17,0.294,12,18,0.667,15,25,40,9,10,5,15,21,65,24,62,0.387,17,41,0.415,7,21,0.333,15,23,0.652,14,27,41,11,5,8,16,15,70,1202201771,0
2564,eastern-kentucky,225,24,62,0.387,17,41,0.415,7,21,0.333,15,23,0.652,14,27,41,11,5,8,16,15,70,24,67,0.358,19,50,0.38,5,17,0.294,12,18,0.667,15,25,40,9,10,5,15,21,65,1202201771,1
2565,bowling-green-state,200,30,59,0.508,16,34,0.471,14,25,0.56,18,21,0.857,7,26,33,19,3,4,16,12,92,30,65,0.462,22,42,0.524,8,23,0.348,9,12,0.75,5,18,23,19,9,4,13,18,77,1202201772,1
2566,norfolk-state,200,30,65,0.462,22,42,0.524,8,23,0.348,9,12,0.75,5,18,23,19,9,4,13,18,77,30,59,0.508,16,34,0.471,14,25,0.56,18,21,0.857,7,26,33,19,3,4,16,12,92,1202201772,0
2567,drake,250,30,76,0.395,24,59,0.407,6,17,0.353,23,29,0.793,8,40,48,18,6,3,17,21,89,35,83,0.422,22,43,0.512,13,40,0.325,13,25,0.52,12,37,49,28,11,8,10,23,96,1202201773,0
2568,wyoming,250,35,83,0.422,22,43,0.512,13,40,0.325,13,25,0.52,12,37,49,28,11,8,10,23,96,30,76,0.395,24,59,0.407,6,17,0.353,23,29,0.793,8,40,48,18,6,3,17,21,89,1202201773,1
2569,columbia,200,31,62,0.5,22,41,0.537,9,21,0.429,11,18,0.611,9,25,34,19,3,3,16,25,82,28,62,0.452,22,49,0.449,6,13,0.462,24,29,0.828,12,23,35,13,11,1,9,15,86,1202201774,0
2570,albany-ny,200,28,62,0.452,22,49,0.449,6,13,0.462,24,29,0.828,12,23,35,13,11,1,9,15,86,31,62,0.5,22,41,0.537,9,21,0.429,11,18,0.611,9,25,34,19,3,3,16,25,82,1202201774,1
2571,south-florida,200,24,55,0.436,20,41,0.488,4,14,0.286,9,11,0.818,7,20,27,7,7,4,17,16,61,33,64,0.516,25,41,0.61,8,23,0.348,10,11,0.909,6,21,27,17,11,2,11,12,84,1202201775,0
2572,appalachian-state,200,33,64,0.516,25,41,0.61,8,23,0.348,10,11,0.909,6,21,27,17,11,2,11,12,84,24,55,0.436,20,41,0.488,4,14,0.286,9,11,0.818,7,20,27,7,7,4,17,16,61,1202201775,1
2573,vermont,200,26,54,0.481,20,39,0.513,6,15,0.4,19,26,0.731,8,18,26,5,3,3,11,21,77,27,52,0.519,16,28,0.571,11,24,0.458,16,23,0.696,7,22,29,18,4,3,12,22,81,1202201776,0
2574,bucknell,200,27,52,0.519,16,28,0.571,11,24,0.458,16,23,0.696,7,22,29,18,4,3,12,22,81,26,54,0.481,20,39,0.513,6,15,0.4,19,26,0.731,8,18,26,5,3,3,11,21,77,1202201776,1
2575,lamar,225,22,56,0.393,13,37,0.351,9,19,0.474,16,23,0.696,7,17,24,10,9,2,16,17,69,23,63,0.365,18,35,0.514,5,28,0.179,16,18,0.889,18,23,41,12,6,7,23,19,67,1202201777,1
2576,coastal-carolina,225,23,63,0.365,18,35,0.514,5,28,0.179,16,18,0.889,18,23,41,12,6,7,23,19,67,22,56,0.393,13,37,0.351,9,19,0.474,16,23,0.696,7,17,24,10,9,2,16,17,69,1202201777,0
2577,saint-peters,250,24,75,0.32,17,40,0.425,7,35,0.2,10,15,0.667,15,28,43,8,6,3,8,22,65,24,64,0.375,19,32,0.594,5,32,0.156,18,26,0.692,11,32,43,18,4,1,13,15,71,1202201778,0
2578,elon,250,24,64,0.375,19,32,0.594,5,32,0.156,18,26,0.692,11,32,43,18,4,1,13,15,71,24,75,0.32,17,40,0.425,7,35,0.2,10,15,0.667,15,28,43,8,6,3,8,22,65,1202201778,1
2579,bethune-cookman,200,29,69,0.42,24,46,0.522,5,23,0.217,12,24,0.5,7,31,38,9,9,1,16,29,75,28,63,0.444,20,41,0.488,8,22,0.364,29,42,0.69,7,37,44,20,5,4,16,22,93,1202201779,0
2580,florida-atlantic,200,28,63,0.444,20,41,0.488,8,22,0.364,29,42,0.69,7,37,44,20,5,4,16,22,93,29,69,0.42,24,46,0.522,5,23,0.217,12,24,0.5,7,31,38,9,9,1,16,29,75,1202201779,1
2581,middle-tennessee,200,29,60,0.483,25,45,0.556,4,15,0.267,19,25,0.76,12,24,36,14,6,2,18,23,81,25,52,0.481,18,35,0.514,7,17,0.412,19,27,0.704,7,19,26,14,8,1,15,22,76,1202201780,1
2582,florida-gulf-coast,200,25,52,0.481,18,35,0.514,7,17,0.412,19,27,0.704,7,19,26,14,8,1,15,22,76,29,60,0.483,25,45,0.556,4,15,0.267,19,25,0.76,12,24,36,14,6,2,18,23,81,1202201780,0
2583,south-alabama,200,20,51,0.392,11,25,0.44,9,26,0.346,9,18,0.5,6,27,33,17,1,7,17,15,58,32,67,0.478,22,41,0.537,10,26,0.385,13,23,0.565,8,27,35,18,12,5,1,18,87,1202201781,0
2584,florida-international,200,32,67,0.478,22,41,0.537,10,26,0.385,13,23,0.565,8,27,35,18,12,5,1,18,87,20,51,0.392,11,25,0.44,9,26,0.346,9,18,0.5,6,27,33,17,1,7,17,15,58,1202201781,1
2585,boston-college,200,27,61,0.443,20,41,0.488,7,20,0.35,12,13,0.923,10,27,37,15,4,4,15,14,73,23,57,0.404,13,26,0.5,10,31,0.323,5,7,0.714,4,17,21,17,4,3,13,22,61,1202201782,1
2586,hartford,200,23,57,0.404,13,26,0.5,10,31,0.323,5,7,0.714,4,17,21,17,4,3,13,22,61,27,61,0.443,20,41,0.488,7,20,0.35,12,13,0.923,10,27,37,15,4,4,15,14,73,1202201782,0
2587,arkansas,200,19,55,0.345,13,36,0.361,6,19,0.316,21,30,0.7,7,17,24,7,4,1,13,19,65,29,56,0.518,19,35,0.543,10,21,0.476,23,28,0.821,7,30,37,19,8,4,12,26,91,1202201783,0
2588,houston,200,29,56,0.518,19,35,0.543,10,21,0.476,23,28,0.821,7,30,37,19,8,4,12,26,91,19,55,0.345,13,36,0.361,6,19,0.316,21,30,0.7,7,17,24,7,4,1,13,19,65,1202201783,1
2589,cleveland-state,200,24,54,0.444,16,32,0.5,8,22,0.364,6,14,0.429,11,23,34,8,3,7,15,14,62,27,68,0.397,22,42,0.524,5,26,0.192,13,16,0.813,16,21,37,10,5,3,9,13,72,1202201784,0
2590,kent-state,200,27,68,0.397,22,42,0.524,5,26,0.192,13,16,0.813,16,21,37,10,5,3,9,13,72,24,54,0.444,16,32,0.5,8,22,0.364,6,14,0.429,11,23,34,8,3,7,15,14,62,1202201784,1
2591,fresno-state,200,38,62,0.613,28,42,0.667,10,20,0.5,20,22,0.909,11,25,36,18,16,0,16,23,106,21,50,0.42,12,32,0.375,9,18,0.5,19,28,0.679,5,12,17,9,7,5,17,21,70,1202201785,1
2592,long-beach-state,200,21,50,0.42,12,32,0.375,9,18,0.5,19,28,0.679,5,12,17,9,7,5,17,21,70,38,62,0.613,28,42,0.667,10,20,0.5,20,22,0.909,11,25,36,18,16,0,16,23,106,1202201785,0
2593,miles,200,22,59,0.373,20,46,0.435,2,13,0.154,9,16,0.563,7,18,25,6,4,1,18,21,55,36,63,0.571,23,37,0.622,13,26,0.5,21,29,0.724,11,27,38,21,7,8,15,16,106,1202201786,0
2594,louisiana-tech,200,36,63,0.571,23,37,0.622,13,26,0.5,21,29,0.724,11,27,38,21,7,8,15,16,106,22,59,0.373,20,46,0.435,2,13,0.154,9,16,0.563,7,18,25,6,4,1,18,21,55,1202201786,1
2595,akron,200,24,63,0.381,18,39,0.462,6,24,0.25,10,19,0.526,10,20,30,9,11,2,22,19,64,30,64,0.469,20,35,0.571,10,29,0.345,16,20,0.8,16,25,41,17,10,5,20,19,86,1202201787,0
2596,marshall,200,30,64,0.469,20,35,0.571,10,29,0.345,16,20,0.8,16,25,41,17,10,5,20,19,86,24,63,0.381,18,39,0.462,6,24,0.25,10,19,0.526,10,20,30,9,11,2,22,19,64,1202201787,1
2597,southeast-missouri-state,200,31,55,0.564,21,39,0.538,10,16,0.625,14,22,0.636,8,22,30,18,6,2,10,16,86,29,57,0.509,24,42,0.571,5,15,0.333,14,19,0.737,7,21,28,17,2,2,13,20,77,1202201788,1
2598,north-carolina-central,200,29,57,0.509,24,42,0.571,5,15,0.333,14,19,0.737,7,21,28,17,2,2,13,20,77,31,55,0.564,21,39,0.538,10,16,0.625,14,22,0.636,8,22,30,18,6,2,10,16,86,1202201788,0
2599,trinity-baptist,200,26,68,0.382,22,50,0.44,4,18,0.222,2,5,0.4,12,23,35,9,8,5,15,7,58,35,77,0.455,24,35,0.686,11,42,0.262,4,5,0.8,15,28,43,17,9,7,15,10,85,1202201789,0
2600,north-florida,200,35,77,0.455,24,35,0.686,11,42,0.262,4,5,0.8,15,28,43,17,9,7,15,10,85,26,68,0.382,22,50,0.44,4,18,0.222,2,5,0.4,12,23,35,9,8,5,15,7,58,1202201789,1
2601,morehead-state,200,19,51,0.373,15,33,0.455,4,18,0.222,7,14,0.5,9,16,25,8,7,5,21,22,49,32,54,0.593,20,34,0.588,12,20,0.6,10,26,0.385,11,25,36,17,6,3,16,19,86,1202201790,0
2602,northern-kentucky,200,32,54,0.593,20,34,0.588,12,20,0.6,10,26,0.385,11,25,36,17,6,3,16,19,86,19,51,0.373,15,33,0.455,4,18,0.222,7,14,0.5,9,16,25,8,7,5,21,22,49,1202201790,1
2603,saint-francis-pa,200,29,48,0.604,14,24,0.583,15,24,0.625,10,18,0.556,2,21,23,20,7,1,18,20,83,33,60,0.55,25,40,0.625,8,20,0.4,11,18,0.611,8,17,25,20,8,2,13,20,85,1202201791,0
2604,stony-brook,200,33,60,0.55,25,40,0.625,8,20,0.4,11,18,0.611,8,17,25,20,8,2,13,20,85,29,48,0.604,14,24,0.583,15,24,0.625,10,18,0.556,2,21,23,20,7,1,18,20,83,1202201791,1
2605,texas-southern,200,23,61,0.377,15,43,0.349,8,18,0.444,15,16,0.938,8,31,39,10,7,5,18,15,69,25,58,0.431,15,31,0.484,10,27,0.37,11,17,0.647,4,26,30,18,3,4,14,15,71,1202201792,0
2606,toledo,200,25,58,0.431,15,31,0.484,10,27,0.37,11,17,0.647,4,26,30,18,3,4,14,15,71,23,61,0.377,15,43,0.349,8,18,0.444,15,16,0.938,8,31,39,10,7,5,18,15,69,1202201792,1
2607,hawaii,200,23,63,0.365,19,41,0.463,4,22,0.182,10,15,0.667,7,22,29,9,5,2,9,21,60,25,56,0.446,17,33,0.515,8,23,0.348,22,27,0.815,8,33,41,17,6,4,13,18,80,1202201793,0
2608,utah,200,25,56,0.446,17,33,0.515,8,23,0.348,22,27,0.815,8,33,41,17,6,4,13,18,80,23,63,0.365,19,41,0.463,4,22,0.182,10,15,0.667,7,22,29,9,5,2,9,21,60,1202201793,1
2609,old-dominion,200,32,64,0.5,27,52,0.519,5,12,0.417,6,7,0.857,5,20,25,16,11,4,11,19,75,26,53,0.491,16,34,0.471,10,19,0.526,20,25,0.8,7,26,33,17,4,2,16,9,82,1202201794,0
2610,virginia-commonwealth,200,26,53,0.491,16,34,0.471,10,19,0.526,20,25,0.8,7,26,33,17,4,2,16,9,82,32,64,0.5,27,52,0.519,5,12,0.417,6,7,0.857,5,20,25,16,11,4,11,19,75,1202201794,1
2611,texas-state,200,18,59,0.305,16,39,0.41,2,20,0.1,14,19,0.737,11,13,24,4,3,1,11,15,52,28,51,0.549,24,37,0.649,4,14,0.286,11,13,0.846,10,27,37,15,5,5,18,18,71,1202201795,0
2612,houston-baptist,200,28,51,0.549,24,37,0.649,4,14,0.286,11,13,0.846,10,27,37,15,5,5,18,18,71,18,59,0.305,16,39,0.41,2,20,0.1,14,19,0.737,11,13,24,4,3,1,11,15,52,1202201795,1
2613,charlotte,200,28,61,0.459,18,38,0.474,10,23,0.435,16,19,0.842,5,25,30,17,4,1,9,24,82,30,61,0.492,23,39,0.59,7,22,0.318,20,27,0.741,8,29,37,13,8,6,9,20,87,1202201796,0
2614,james-madison,200,30,61,0.492,23,39,0.59,7,22,0.318,20,27,0.741,8,29,37,13,8,6,9,20,87,28,61,0.459,18,38,0.474,10,23,0.435,16,19,0.842,5,25,30,17,4,1,9,24,82,1202201796,1
2615,princeton,200,19,61,0.311,11,29,0.379,8,32,0.25,6,9,0.667,8,21,29,10,5,2,11,13,52,30,60,0.5,16,35,0.457,14,25,0.56,6,9,0.667,7,31,38,16,5,4,12,15,80,1202201797,0
2616,miami-fl,200,30,60,0.5,16,35,0.457,14,25,0.56,6,9,0.667,7,31,38,16,5,4,12,15,80,19,61,0.311,11,29,0.379,8,32,0.25,6,9,0.667,8,21,29,10,5,2,11,13,52,1202201797,1
2617,florida-am,200,22,57,0.386,17,40,0.425,5,17,0.294,10,11,0.909,13,18,31,6,2,5,13,17,59,31,65,0.477,26,44,0.591,5,21,0.238,13,21,0.619,15,22,37,17,9,4,5,13,80,1202201798,0
2618,murray-state,200,31,65,0.477,26,44,0.591,5,21,0.238,13,21,0.619,15,22,37,17,9,4,5,13,80,22,57,0.386,17,40,0.425,5,17,0.294,10,11,0.909,13,18,31,6,2,5,13,17,59,1202201798,1
2619,missouri-state,200,30,62,0.484,21,38,0.553,9,24,0.375,4,6,0.667,10,29,39,19,3,2,7,15,73,21,59,0.356,18,35,0.514,3,24,0.125,8,12,0.667,9,21,30,7,3,3,7,9,53,1202201799,1
2620,south-dakota-state,200,21,59,0.356,18,35,0.514,3,24,0.125,8,12,0.667,9,21,30,7,3,3,7,9,53,30,62,0.484,21,38,0.553,9,24,0.375,4,6,0.667,10,29,39,19,3,2,7,15,73,1202201799,0
2621,san-diego-christian,200,22,51,0.431,14,29,0.483,8,22,0.364,16,20,0.8,4,16,20,12,3,1,17,27,68,27,53,0.509,22,34,0.647,5,19,0.263,28,36,0.778,9,27,36,9,12,1,11,19,87,12022017100,0
2622,southern-utah,200,27,53,0.509,22,34,0.647,5,19,0.263,28,36,0.778,9,27,36,9,12,1,11,19,87,22,51,0.431,14,29,0.483,8,22,0.364,16,20,0.8,4,16,20,12,3,1,17,27,68,12022017100,1
2623,lipscomb,225,28,56,0.5,16,31,0.516,12,25,0.48,27,35,0.771,6,26,32,18,7,7,19,21,95,30,64,0.469,22,41,0.537,8,23,0.348,18,27,0.667,8,28,36,13,7,4,21,26,86,12022017101,1
2624,tennessee-state,225,30,64,0.469,22,41,0.537,8,23,0.348,18,27,0.667,8,28,36,13,7,4,21,26,86,28,56,0.5,16,31,0.516,12,25,0.48,27,35,0.771,6,26,32,18,7,7,19,21,95,12022017101,0
2625,north-texas,200,21,57,0.368,15,31,0.484,6,26,0.231,12,23,0.522,18,26,44,13,6,0,19,29,60,21,55,0.382,17,35,0.486,4,20,0.2,19,36,0.528,15,17,32,8,9,1,11,17,65,12022017102,0
2626,texas-arlington,200,21,55,0.382,17,35,0.486,4,20,0.2,19,36,0.528,15,17,32,8,9,1,11,17,65,21,57,0.368,15,31,0.484,6,26,0.231,12,23,0.522,18,26,44,13,6,0,19,29,60,12022017102,1
2627,yale,200,26,58,0.448,19,33,0.576,7,25,0.28,7,10,0.7,6,21,27,16,5,3,14,12,66,38,64,0.594,29,41,0.707,9,23,0.391,7,12,0.583,6,24,30,22,6,4,9,8,92,12022017103,0
2628,texas-christian,200,38,64,0.594,29,41,0.707,9,23,0.391,7,12,0.583,6,24,30,22,6,4,9,8,92,26,58,0.448,19,33,0.576,7,25,0.28,7,10,0.7,6,21,27,16,5,3,14,12,66,12022017103,1
2629,miami-oh,250,28,66,0.424,19,38,0.5,9,28,0.321,11,18,0.611,9,30,39,13,11,1,14,16,76,28,67,0.418,17,37,0.459,11,30,0.367,6,9,0.667,8,29,37,11,5,2,18,19,73,12022017104,1
2630,western-illinois,250,28,67,0.418,17,37,0.459,11,30,0.367,6,9,0.667,8,29,37,11,5,2,18,19,73,28,66,0.424,19,38,0.5,9,28,0.321,11,18,0.611,9,30,39,13,11,1,14,16,76,12022017104,0
2631,san-francisco,200,18,63,0.286,7,23,0.304,11,40,0.275,10,14,0.714,13,18,31,12,6,4,14,30,57,23,50,0.46,19,37,0.514,4,13,0.308,25,36,0.694,13,30,43,10,6,4,14,16,75,12022017105,0
2632,arizona-state,200,23,50,0.46,19,37,0.514,4,13,0.308,25,36,0.694,13,30,43,10,6,4,14,16,75,18,63,0.286,7,23,0.304,11,40,0.275,10,14,0.714,13,18,31,12,6,4,14,30,57,12022017105,1
2633,cal-lutheran,200,21,59,0.356,14,31,0.452,7,28,0.25,9,13,0.692,6,16,22,13,6,1,11,12,58,35,67,0.522,30,49,0.612,5,18,0.278,11,13,0.846,14,30,44,18,3,2,9,8,86,12022017106,0
2634,cal-state-fullerton,200,35,67,0.522,30,49,0.612,5,18,0.278,11,13,0.846,14,30,44,18,3,2,9,8,86,21,59,0.356,14,31,0.452,7,28,0.25,9,13,0.692,6,16,22,13,6,1,11,12,58,12022017106,1
2635,california-riverside,200,19,50,0.38,15,39,0.385,4,11,0.364,14,19,0.737,8,33,41,12,2,1,24,23,56,24,69,0.348,20,33,0.606,4,36,0.111,16,23,0.696,16,23,39,20,12,5,8,23,68,12022017107,0
2636,grand-canyon,200,24,69,0.348,20,33,0.606,4,36,0.111,16,23,0.696,16,23,39,20,12,5,8,23,68,19,50,0.38,15,39,0.385,4,11,0.364,14,19,0.737,8,33,41,12,2,1,24,23,56,12022017107,1
2637,new-mexico,200,21,56,0.375,10,25,0.4,11,31,0.355,23,35,0.657,9,27,36,11,4,0,14,25,76,29,54,0.537,20,30,0.667,9,24,0.375,21,27,0.778,2,29,31,10,4,0,13,25,88,12022017108,0
2638,texas-el-paso,200,29,54,0.537,20,30,0.667,9,24,0.375,21,27,0.778,2,29,31,10,4,0,13,25,88,21,56,0.375,10,25,0.4,11,31,0.355,23,35,0.657,9,27,36,11,4,0,14,25,76,12022017108,1
2639,brigham-young,200,23,52,0.442,18,34,0.529,5,18,0.278,24,28,0.857,4,30,34,11,4,4,13,22,75,18,42,0.429,15,26,0.577,3,16,0.188,7,14,0.5,9,22,31,7,4,2,12,25,46,12022017109,1
2640,utah-state,165,18,42,0.429,15,26,0.577,3,16,0.188,7,14,0.5,9,22,31,7,4,2,12,25,46,23,52,0.442,18,34,0.529,5,18,0.278,24,28,0.857,4,30,34,11,4,4,13,22,75,12022017109,0
2641,texas-san-antonio,200,29,70,0.414,21,46,0.457,8,24,0.333,14,21,0.667,9,18,27,19,7,1,10,28,80,27,61,0.443,19,33,0.576,8,28,0.286,26,33,0.788,18,36,54,17,5,7,18,24,88,12022017110,0
2642,utah-valley,200,27,61,0.443,19,33,0.576,8,28,0.286,26,33,0.788,18,36,54,17,5,7,18,24,88,29,70,0.414,21,46,0.457,8,24,0.333,14,21,0.667,9,18,27,19,7,1,10,28,80,12022017110,1
2643,pepperdine,200,29,55,0.527,27,44,0.614,2,11,0.182,21,27,0.778,5,21,26,14,3,1,9,14,81,30,57,0.526,19,30,0.633,11,27,0.407,20,23,0.87,6,23,29,19,5,4,7,21,91,12022017111,0
2644,cal-poly,200,30,57,0.526,19,30,0.633,11,27,0.407,20,23,0.87,6,23,29,19,5,4,7,21,91,29,55,0.527,27,44,0.614,2,11,0.182,21,27,0.778,5,21,26,14,3,1,9,14,81,12022017111,1
2645,northern-arizona,200,24,46,0.522,20,30,0.667,4,16,0.25,8,14,0.571,9,17,26,13,10,3,23,18,60,19,49,0.388,13,25,0.52,6,24,0.25,8,14,0.571,12,15,27,12,9,2,25,15,52,12022017112,1
2646,cal-state-bakersfield,200,19,49,0.388,13,25,0.52,6,24,0.25,8,14,0.571,12,15,27,12,9,2,25,15,52,24,46,0.522,20,30,0.667,4,16,0.25,8,14,0.571,9,17,26,13,10,3,23,18,60,12022017112,0
2647,nevada,200,26,57,0.456,16,35,0.457,10,22,0.455,14,21,0.667,6,24,30,17,3,3,5,14,76,28,65,0.431,24,50,0.48,4,15,0.267,5,11,0.455,18,27,45,11,3,4,12,15,65,12022017113,1
2648,california-irvine,200,28,65,0.431,24,50,0.48,4,15,0.267,5,11,0.455,18,27,45,11,3,4,12,15,65,26,57,0.456,16,35,0.457,10,22,0.455,14,21,0.667,6,24,30,17,3,3,5,14,76,12022017113,0
2649,san-diego,200,21,58,0.362,15,32,0.469,6,26,0.231,9,23,0.391,8,29,37,8,7,2,17,22,57,22,54,0.407,14,35,0.4,8,19,0.421,15,25,0.6,7,35,42,13,7,2,15,18,67,12022017114,0
2650,california-santa-barbara,200,22,54,0.407,14,35,0.4,8,19,0.421,15,25,0.6,7,35,42,13,7,2,15,18,67,21,58,0.362,15,32,0.469,6,26,0.231,9,23,0.391,8,29,37,8,7,2,17,22,57,12022017114,1
2651,arizona,225,35,75,0.467,29,57,0.509,6,18,0.333,15,17,0.882,11,20,31,11,7,7,14,22,91,33,62,0.532,30,49,0.612,3,13,0.231,19,26,0.731,8,26,34,19,8,6,17,19,88,12022017115,1
2652,nevada-las-vegas,225,33,62,0.532,30,49,0.612,3,13,0.231,19,26,0.731,8,26,34,19,8,6,17,19,88,35,75,0.467,29,57,0.509,6,18,0.333,15,17,0.882,11,20,31,11,7,7,14,22,91,12022017115,0
2653,arkansas-pine-bluff,200,21,37,0.568,16,27,0.593,5,10,0.5,10,16,0.625,1,23,24,11,7,0,20,18,57,23,48,0.479,11,22,0.5,12,26,0.462,14,17,0.824,5,19,24,16,12,0,15,18,72,12022017116,0
2654,santa-clara,200,23,48,0.479,11,22,0.5,12,26,0.462,14,17,0.824,5,19,24,16,12,0,15,18,72,21,37,0.568,16,27,0.593,5,10,0.5,10,16,0.625,1,23,24,11,7,0,20,18,57,12022017116,1
2655,southern-california,200,20,47,0.426,15,30,0.5,5,17,0.294,10,15,0.667,8,19,27,13,7,4,17,13,55,27,53,0.509,19,37,0.514,8,16,0.5,10,23,0.435,11,20,31,16,10,1,9,15,72,12022017117,0
2656,southern-methodist,200,27,53,0.509,19,37,0.514,8,16,0.5,10,23,0.435,11,20,31,16,10,1,9,15,72,20,47,0.426,15,30,0.5,5,17,0.294,10,15,0.667,8,19,27,13,7,4,17,13,55,12022017117,1
2657,saint-marys-ca,200,25,51,0.49,19,32,0.594,6,19,0.316,18,21,0.857,6,23,29,12,4,3,9,17,74,26,53,0.491,21,39,0.538,5,14,0.357,6,11,0.545,5,17,22,15,3,6,12,16,63,12022017118,1
